CCCNC(=O)c1ccccc1N*;S(=O)(=O)(c1ccc(SC)cc1);CCCNC(=O)c1ccccc1NS(=O)(=O)c1ccc(SC)cc1
Cn1c(-c2ccc(F)cc2)c[nH+]c1*;N(Cc1ccccc1F);Cn1c(-c2ccc(F)cc2)c[nH+]c1NCc1ccccc1F
Cc1nn(-c2ccccc2)nc1C(=O)N*;C(CC[NH+]1CCOCC1);Cc1nn(-c2ccccc2)nc1C(=O)NCCC[NH+]1CCOCC1
Cc1cc(Cl)ccc1OCC(=O)*;N(c1cc(Cl)ccc1C(=O)[O-]);Cc1cc(Cl)ccc1OCC(=O)Nc1cc(Cl)ccc1C(=O)[O-]
COc1ccc(C(C)(C)C)cc1N*;C(=O)(COc1ccc(F)cc1);COc1ccc(C(C)(C)C)cc1NC(=O)COc1ccc(F)cc1
CCN(CC(=O)NC(C)(C)C)*;S(=O)(=O)(c1cc(C)ccc1C);CCN(CC(=O)NC(C)(C)C)S(=O)(=O)c1cc(C)ccc1C
CCc1cccc(C)c1N*;S(=O)(=O)(Cc1ccccc1);CCc1cccc(C)c1NS(=O)(=O)Cc1ccccc1
O=S(=O)(CC*)c1ccc(Cl)cc1;S(=O)(=O)(c1ccccn1);O=S(=O)(CCS(=O)(=O)c1ccccn1)c1ccc(Cl)cc1
C[C@@H](Sc1ccc(F)cc1)*;C(=O)(Nc1ccc(Br)cc1);C[C@@H](Sc1ccc(F)cc1)C(=O)Nc1ccc(Br)cc1
Cc1ccccc1-n1cnnc1S*;C(C(=O)N1CCC(C)CC1);Cc1ccccc1-n1cnnc1SCC(=O)N1CCC(C)CC1
Nc1cc2c(cc1*)OCCO2;C(=O)(c1ccccc1Cl);Nc1cc2c(cc1C(=O)c1ccccc1Cl)OCCO2
O=C(Nc1nc2ccccc2s1)*;C(Oc1ccc(Br)cc1Cl);O=C(COc1ccc(Br)cc1Cl)Nc1nc2ccccc2s1
Nc1cc(C(=O)[O-])ccc1*;N(c1ccc(F)c(F)c1);Nc1cc(C(=O)[O-])ccc1Nc1ccc(F)c(F)c1
CCOc1ccccc1NC(=O)C*;S(c1nc2ncccc2[nH]1);CCOc1ccccc1NC(=O)CSc1nc2ncccc2[nH]1
O=C(OCC*)c1c[nH]c2ccccc12;O(c1c(Cl)cccc1Cl);O=C(OCCOc1c(Cl)cccc1Cl)c1c[nH]c2ccccc12
O=C(c1cccc(C(F)(F)F)c1)*;N(c1nc(-c2sccc2Cl)cs1);O=C(Nc1nc(-c2sccc2Cl)cs1)c1cccc(C(F)(F)F)c1
O=C(Nc1cccc(Cl)c1Cl)*;C(Oc1ccc(Br)cc1);O=C(COc1ccc(Br)cc1)Nc1cccc(Cl)c1Cl
O=C(c1ccccc1Cl)*;N(c1ccc(F)c(F)c1);O=C(Nc1ccc(F)c(F)c1)c1ccccc1Cl
N#CCCN(CCC#N)C(=O)C*;S(c1ccc2ccccc2n1);N#CCCN(CCC#N)C(=O)CSc1ccc2ccccc2n1
O=C(OCCN*)c1ccccc1;C(=O)(c1ccc2ccccc2n1);O=C(OCCNC(=O)c1ccc2ccccc2n1)c1ccccc1
C(=O)(OCC(=O)N1[C@@H](C)CCC[C@@H]1C)*;COc1ccc(OC)cc1;COc1ccc(OCC(=O)OCC(=O)N2[C@@H](C)CCC[C@@H]2C)cc1
[NH2+]=C(C*)NCCc1ccccc1;O(c1cc(Cl)ccc1Cl);[NH2+]=C(COc1cc(Cl)ccc1Cl)NCCc1ccccc1
Cn1c(Cc2ccccc2)nnc1S*;C(C(=O)c1ccccc1);Cn1c(Cc2ccccc2)nnc1SCC(=O)c1ccccc1
C[C@@H]1CCCC[NH+]1C[C@H](O)COC*;C(C12CC3CC(CC(C3)C1)C2);C[C@@H]1CCCC[NH+]1C[C@H](O)COCCC12CC3CC(CC(C3)C1)C2
CCOc1ccccc1NC(=O)*;N(CC[NH+]1CCCCC1);CCOc1ccccc1NC(=O)NCC[NH+]1CCCCC1
C[C@H](OC(=O)COc1ccccc1)*;C(=O)(Nc1cccc(C#N)c1);C[C@H](OC(=O)COc1ccccc1)C(=O)Nc1cccc(C#N)c1
C[NH+]1[C@H]2CC[C@@H]1CC(NC(=O)*)C2;C(Sc1ccc(C(C)(C)C)cc1);C[NH+]1[C@H]2CC[C@@H]1CC(NC(=O)CSc1ccc(C(C)(C)C)cc1)C2
Cc1ccc(-c2csc(*)n2)cc1;N(C(=O)C(C(F)(F)F)C(F)(F)F);Cc1ccc(-c2csc(NC(=O)C(C(F)(F)F)C(F)(F)F)n2)cc1
O=C(CO*)NCc1ccccc1;C(=O)(Cc1ccc(Cl)cc1Cl);O=C(COC(=O)Cc1ccc(Cl)cc1Cl)NCc1ccccc1
O=C(OCc1ccc(Cl)cc1Cl)*;C(NC(=O)c1cccc(Cl)c1);O=C(CNC(=O)c1cccc(Cl)c1)OCc1ccc(Cl)cc1Cl
O=C(Nc1ccc2c(c1)OCO2)*;C(Oc1cccc(Cl)c1);O=C(COc1cccc(Cl)c1)Nc1ccc2c(c1)OCO2
O=C(COC(=O)C1CCCC1)*;N(c1cccc(Cl)c1Cl);O=C(COC(=O)C1CCCC1)Nc1cccc(Cl)c1Cl
C[C@H](Oc1ccc(Cl)cc1Cl)C(=O)*;N([C@H](C)c1ccncc1);C[C@H](Oc1ccc(Cl)cc1Cl)C(=O)N[C@H](C)c1ccncc1
CC(=O)Nc1ccccc1*;O(C(=O)N1CCOCC1);CC(=O)Nc1ccccc1OC(=O)N1CCOCC1
O=C(CCc1ccccc1)NC*;C(c1nc2ccccc2[nH]1);O=C(CCc1ccccc1)NCCc1nc2ccccc2[nH]1
CC[C@@H](Sc1nc2ccccc2s1)*;C(=O)(Nc1cc(C)on1);CC[C@@H](Sc1nc2ccccc2s1)C(=O)Nc1cc(C)on1
CCN(C(=O)c1ccc(C)s1)*;C(C(=O)NCc1cccs1);CCN(CC(=O)NCc1cccs1)C(=O)c1ccc(C)s1
CC[C@H](C)c1ccccc1N*;C(=O)([C@@H](C)Sc1nnnn1C);CC[C@H](C)c1ccccc1NC(=O)[C@@H](C)Sc1nnnn1C
O=C(CO*)Nc1ccccc1OC(F)F;C(=O)(c1ccc(O)cc1);O=C(COC(=O)c1ccc(O)cc1)Nc1ccccc1OC(F)F
O=C([O-])C[C@@H]([NH2+]Cc1ccco1)*;C(=O)(Nc1ccc(Cl)cc1);O=C([O-])C[C@@H]([NH2+]Cc1ccco1)C(=O)Nc1ccc(Cl)cc1
C[C@@H](OC(=O)c1cccnc1Cl)*;C(=O)(NCc1ccccc1);C[C@@H](OC(=O)c1cccnc1Cl)C(=O)NCc1ccccc1
O=C(C*)NCc1ccccc1Cl;S(c1nc2ccccc2o1);O=C(CSc1nc2ccccc2o1)NCc1ccccc1Cl
O=C(COc1ccccc1O)*;N(CC[NH+]1CCOCC1);O=C(COc1ccccc1O)NCC[NH+]1CCOCC1
CC(=O)Nc1cscc1*;S(=O)(=O)(c1ccccc1);CC(=O)Nc1cscc1S(=O)(=O)c1ccccc1
Nc1c(Cl)cc(Cl)cc1C(=O)OC*;C(=O)(NCc1ccc(F)cc1);Nc1c(Cl)cc(Cl)cc1C(=O)OCC(=O)NCc1ccc(F)cc1
CC(C)[C@H](C(=O)N1CCOCC1)*;N(C(=O)c1ccccc1);CC(C)[C@@H](NC(=O)c1ccccc1)C(=O)N1CCOCC1
C[C@H](N1CCc2ccccc21)*;C(=O)(Nc1ccc(Cl)cc1Cl);C[C@@H](C(=O)Nc1ccc(Cl)cc1Cl)N1CCc2ccccc21
CC(C)N(C(=O)C*)C(C)C;O(C(=O)c1cncc(Br)c1);CC(C)N(C(=O)COC(=O)c1cncc(Br)c1)C(C)C
COc1cc(C)ccc1OC*;C(CC[NH+]1C[C@H](C)O[C@@H](C)C1);COc1cc(C)ccc1OCCCC[NH+]1C[C@H](C)O[C@@H](C)C1
O=C(C*)Nc1ccc(F)cc1Cl;O(c1cccc(-n2cnnn2)c1);O=C(COc1cccc(-n2cnnn2)c1)Nc1ccc(F)cc1Cl
O=C(N1CC[NH+](C2CCCCC2)CC1)*;N(c1ccc(F)c(Cl)c1);O=C(Nc1ccc(F)c(Cl)c1)N1CC[NH+](C2CCCCC2)CC1
COc1cc2c(cc1OC)CN(*)CC2;C(=O)(CSc1nncn1C);COc1cc2c(cc1OC)CN(C(=O)CSc1nncn1C)CC2
C(=O)(Nc1ccc(C)cc1Br)*;COc1ccccc1OC;COc1ccccc1OCC(=O)Nc1ccc(C)cc1Br
COc1cc(C(C)=O)ccc1O*;C(C(=O)Nc1ccc(F)cc1F);COc1cc(C(C)=O)ccc1OCC(=O)Nc1ccc(F)cc1F
CC(C)Oc1ccc(C(F)(F)F)cc1*;N(C(=O)c1cccc(F)c1);CC(C)Oc1ccc(C(F)(F)F)cc1NC(=O)c1cccc(F)c1
N#CCCN(c1ccccc1)*;C(=O)(Nc1ccc(Cl)cc1);N#CCCN(C(=O)Nc1ccc(Cl)cc1)c1ccccc1
O=C(C[C@@H](C(=O)[O-])[NH+]1CCOCC1)*;N(c1ccc(Cl)cc1Cl);O=C(C[C@@H](C(=O)[O-])[NH+]1CCOCC1)Nc1ccc(Cl)cc1Cl
Cc1noc(C)c1CO*;C(=O)(c1cccnc1Cl);Cc1noc(C)c1COC(=O)c1cccnc1Cl
COC(=O)c1sc(OC)cc1O*;S(=O)(=O)(c1ccc(Cl)cc1);COC(=O)c1sc(OC)cc1OS(=O)(=O)c1ccc(Cl)cc1
O=C(COC(=O)*)Nc1ccccc1;C(NC(=O)c1ccccc1);O=C(COC(=O)CNC(=O)c1ccccc1)Nc1ccccc1
CC[C@H](C(=O)*)c1ccccc1;O(CC(=O)c1ccc(Br)s1);CC[C@H](C(=O)OCC(=O)c1ccc(Br)s1)c1ccccc1
O=C(Cc1ccc(Cl)cc1)NCCC*;N(C(=O)c1ccccn1);O=C(Cc1ccc(Cl)cc1)NCCCNC(=O)c1ccccn1
NC(=O)c1ccsc1NC(=O)C*;O(C(=O)Cc1ccc(Br)cc1);NC(=O)c1ccsc1NC(=O)COC(=O)Cc1ccc(Br)cc1
CN(C*)C(=O)CCc1ccccc1;C(=O)(Nc1ccc(Cl)c(Cl)c1);CN(CC(=O)Nc1ccc(Cl)c(Cl)c1)C(=O)CCc1ccccc1
C[C@H](NC(=O)*)c1ccccc1;C(Sc1nc2ccccc2s1);C[C@H](NC(=O)CSc1nc2ccccc2s1)c1ccccc1
COc1ccc(Cl)cc1*;N(C(=O)Nc1nccs1);COc1ccc(Cl)cc1NC(=O)Nc1nccs1
CC(=O)c1ccccc1NC(=O)*;C(n1ncc(Cl)c(Cl)c1=O);CC(=O)c1ccccc1NC(=O)Cn1ncc(Cl)c(Cl)c1=O
CCc1cccc(C)c1NC(=O)*;C(OC(=O)Cc1ccsc1);CCc1cccc(C)c1NC(=O)COC(=O)Cc1ccsc1
N#C[C@@H]1c2ccccc2C=CN1*;C(=O)(c1ccc(F)cc1);N#C[C@@H]1c2ccccc2C=CN1C(=O)c1ccc(F)cc1
CC(C)C(=O)Nc1ccccc1*;C(=O)(Nc1ccc(Cl)cc1);CC(C)C(=O)Nc1ccccc1C(=O)Nc1ccc(Cl)cc1
O=C(c1ccccc1OC(F)F)*;N(CCn1cc(Cl)cn1);O=C(NCCn1cc(Cl)cn1)c1ccccc1OC(F)F
O=C(C*)N1CCCCC1;O(c1ccc(Br)cc1Br);O=C(COc1ccc(Br)cc1Br)N1CCCCC1
O=C(Nc1c(F)cccc1F)*;C(Oc1ccccc1Cl);O=C(COc1ccccc1Cl)Nc1c(F)cccc1F
CCOc1ccccc1O*;C(CNC(=O)c1cccs1);CCOc1ccccc1OCCNC(=O)c1cccs1
O=C(C*)Nc1ccc(I)cc1;C(NC(=O)c1ccco1);O=C(CCNC(=O)c1ccco1)Nc1ccc(I)cc1
CN(CC(=O)N1CCC(C(N)=O)CC1)*;S(=O)(=O)(c1ccc(Br)cc1);CN(CC(=O)N1CCC(C(N)=O)CC1)S(=O)(=O)c1ccc(Br)cc1
N#C[C@H](C*)c1ccc(Cl)cc1;C(=O)(c1ccc(Cl)cc1);N#C[C@H](CC(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1
O=C(CCCSc1ccc(Cl)cc1)*;N(c1ccc2c(c1)OCCO2);O=C(CCCSc1ccc(Cl)cc1)Nc1ccc2c(c1)OCCO2
O=C([O-])C[C@@H](N*)c1ccc(F)cc1;C(=O)(c1ccccc1Cl);O=C([O-])C[C@@H](NC(=O)c1ccccc1Cl)c1ccc(F)cc1
O=C(C*)Nc1ncc(Cl)cc1Cl;S(c1ncnc2ccccc12);O=C(CSc1ncnc2ccccc12)Nc1ncc(Cl)cc1Cl
COc1ccc(*)cc1S(=O)(=O)N(C)C;C(=O)(N[C@@H](O)C(Cl)(Cl)Cl);COc1ccc(C(=O)N[C@@H](O)C(Cl)(Cl)Cl)cc1S(=O)(=O)N(C)C
O=C(c1ccccc1Br)*;N(c1ccc(Br)cc1F);O=C(Nc1ccc(Br)cc1F)c1ccccc1Br
O[C@@H](CN1CCCc2ccccc21)*;C(Oc1ccc(Cl)cc1Cl);O[C@H](COc1ccc(Cl)cc1Cl)CN1CCCc2ccccc21
C=CCNC(=O)c1ccccc1*;N(C(=O)c1ccccc1);C=CCNC(=O)c1ccccc1NC(=O)c1ccccc1
Cc1c(Cl)cccc1N(S(C)(=O)=O)*;C(C(=O)NC1CCCCCC1);Cc1c(Cl)cccc1N(CC(=O)NC1CCCCCC1)S(C)(=O)=O
C(Oc1cccc2ccccc12)*;C[NH+](C)Cc1ccccc1;C[NH+](CCOc1cccc2ccccc12)Cc1ccccc1
O=C(COc1ccc(Br)cc1)*;O(CC[NH+]1CCOCC1);O=C(COc1ccc(Br)cc1)OCC[NH+]1CCOCC1
O=S(=O)(c1ccccc1F)*;N(CCc1ccccc1);O=S(=O)(NCCc1ccccc1)c1ccccc1F
COc1cc2ccccc2cc1C(=O)*;N(c1ccc(C(C)=O)cc1);COc1cc2ccccc2cc1C(=O)Nc1ccc(C(C)=O)cc1
CCOc1cc(C#N)ccc1*;O(CC(=O)N1CCCCC1);CCOc1cc(C#N)ccc1OCC(=O)N1CCCCC1
O=C(Nc1ccccc1)*;C(OC(=O)c1ccco1);O=C(COC(=O)c1ccco1)Nc1ccccc1
Cc1cc(S*)nc2ccccc12;C(C(=O)N[C@](C)(C#N)C(C)C);Cc1cc(SCC(=O)N[C@](C)(C#N)C(C)C)nc2ccccc12
Cc1cc(Br)ccc1NC(=O)CN*;C(=O)(C[NH+]1CCCC[C@H]1C);Cc1cc(Br)ccc1NC(=O)CNC(=O)C[NH+]1CCCC[C@H]1C
O=C(Oc1cccc(Cl)c1)*;N(c1ccc(Cl)cc1Cl);O=C(Nc1ccc(Cl)cc1Cl)Oc1cccc(Cl)c1
O=C(CNC(=O)c1ccco1)*;O(Cc1cccc(Cl)c1);O=C(CNC(=O)c1ccco1)OCc1cccc(Cl)c1
C[C@H]1CCCCN1C(=O)C*;S(c1ncnc2sccc12);C[C@H]1CCCCN1C(=O)CSc1ncnc2sccc12
Cc1cc(Cl)ccc1NC(=O)*;C(Oc1ccc(F)cc1);Cc1cc(Cl)ccc1NC(=O)COc1ccc(F)cc1
CN(Cc1ccccc1)C(=O)*;N(c1cccc(C(F)(F)F)c1);CN(Cc1ccccc1)C(=O)Nc1cccc(C(F)(F)F)c1
[NH3+][C@@H](Cc1c[nH]c2ccccc12)*;C(=O)(NCc1ccccc1);[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1ccccc1
CN(Cc1ccccc1)C(=O)*;C(Cc1nc2ccccc2[nH]1);CN(Cc1ccccc1)C(=O)CCc1nc2ccccc2[nH]1
CC(C)CNS(=O)(=O)CC*;N(C(=O)c1ccccc1);CC(C)CNS(=O)(=O)CCNC(=O)c1ccccc1
O=C(C*)c1ccc2c(c1)OCO2;S(c1nc2ccccc2[nH]1);O=C(CSc1nc2ccccc2[nH]1)c1ccc2c(c1)OCO2
CC(C)(NC(=O)c1ccccc1)*;N(C(=O)c1ccccc1);CC(C)(NC(=O)c1ccccc1)NC(=O)c1ccccc1
COc1ccccc1OCCC*;O(c1cc(Cl)ccc1Cl);COc1ccccc1OCCCOc1cc(Cl)ccc1Cl
O=C(C*)NCc1cccc(Cl)c1;O(n1nnc2ccccc12);O=C(COn1nnc2ccccc21)NCc1cccc(Cl)c1
Cc1ccccc1SCC(=O)*;N([C@@H]1CCCc2ccccc21);Cc1ccccc1SCC(=O)N[C@@H]1CCCc2ccccc21
C[C@@H]1CC(=O)Nc2ccccc2N1*;C(=O)(COc1ccccc1Br);C[C@@H]1CC(=O)Nc2ccccc2N1C(=O)COc1ccccc1Br
O=C([C@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1C(=O)[O-])*;N(Cc1ccc(Cl)c(Cl)c1);O=C(NCc1ccc(Cl)c(Cl)c1)[C@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1C(=O)[O-]
C=CCc1ccccc1OCC*;C(Oc1c(OC)cccc1OC);C=CCc1ccccc1OCCCOc1c(OC)cccc1OC
C[C@H]1CCCC[C@H]1NC(=O)C*;S(c1nnc(C(F)(F)F)n1C);C[C@H]1CCCC[C@H]1NC(=O)CSc1nnc(C(F)(F)F)n1C
COc1ccc(C)cc1N*;C(=O)(c1ccc(=O)n(C)n1);COc1ccc(C)cc1NC(=O)c1ccc(=O)n(C)n1
C=CC[C@H](c1ccccc1)*;N(C(=O)c1ccccc1);C=CC[C@@H](NC(=O)c1ccccc1)c1ccccc1
O=C(Cc1ccc(F)cc1F)*;N(c1cccc2ccccc12);O=C(Cc1ccc(F)cc1F)Nc1cccc2ccccc12
CN(CC(=O)*)C(=O)Cc1ccsc1;N(c1c(Cl)cccc1Cl);CN(CC(=O)Nc1c(Cl)cccc1Cl)C(=O)Cc1ccsc1
O=C([O-])c1ccccc1C(=O)*;N(c1ccc(Br)c(Br)c1);O=C([O-])c1ccccc1C(=O)Nc1ccc(Br)c(Br)c1
O=C(C*)OCc1ccccc1;N(C(=O)c1ccc(Cl)cc1Cl);O=C(CNC(=O)c1ccc(Cl)cc1Cl)OCc1ccccc1
CCc1cc2ccccc2nc1*;S(CC(=O)c1cccs1);CCc1cc2ccccc2nc1SCC(=O)c1cccs1
CCn1c(*)nc2sc(C)c(C)c2c1=O;S(CC(=O)N[C@@H](C)C(C)C);CCn1c(SCC(=O)N[C@@H](C)C(C)C)nc2sc(C)c(C)c2c1=O
CN(CC(=O)*)S(=O)(=O)c1cccs1;N(c1ccc(F)c(Cl)c1);CN(CC(=O)Nc1ccc(F)c(Cl)c1)S(=O)(=O)c1cccs1
C[C@@H](C(=O)Nc1ccccc1)*;O(c1ccccc1C#N);C[C@H](Oc1ccccc1C#N)C(=O)Nc1ccccc1
O=C(Nc1ccccc1)*;C(Sc1ccc(F)cc1);O=C(CSc1ccc(F)cc1)Nc1ccccc1
COc1ccccc1CNC(=O)C*;O(c1ccc(Cl)c(Cl)c1);COc1ccccc1CNC(=O)COc1ccc(Cl)c(Cl)c1
CC[NH+](C[C@@H](O)*)C1CCCCC1;C(Oc1ccc2c(c1)CCC2);CC[NH+](C[C@@H](O)COc1ccc2c(c1)CCC2)C1CCCCC1
O=C(COc1ccccc1Br)*;N(CCc1ccc(Cl)cc1);O=C(COc1ccccc1Br)NCCc1ccc(Cl)cc1
C#CC(CC)(CC)NC(=O)*;N(c1ccc(OCC)cc1);C#CC(CC)(CC)NC(=O)Nc1ccc(OCC)cc1
CS(=O)(=O)N(CC(=O)*)c1ccc(F)cc1;N(CCC1=CCCCC1);CS(=O)(=O)N(CC(=O)NCCC1=CCCCC1)c1ccc(F)cc1
O=C([C@@H]1CC(=O)N(c2ccccc2)C1)*;N(c1cc(Cl)cc(Cl)c1);O=C(Nc1cc(Cl)cc(Cl)c1)[C@@H]1CC(=O)N(c2ccccc2)C1
O=C(c1c(Cl)cccc1Cl)*;N(c1ccc(F)cc1F);O=C(Nc1ccc(F)cc1F)c1c(Cl)cccc1Cl
O=C(Nc1ccccc1)*;C(Oc1cccc(Cl)c1);O=C(COc1cccc(Cl)c1)Nc1ccccc1
O=S(=O)(c1ccc(Cl)s1)*;N(c1ccc(F)c(Cl)c1);O=S(=O)(Nc1ccc(F)c(Cl)c1)c1ccc(Cl)s1
O=C(NCCCc1ccccc1)*;C(Sc1nc2ccccc2s1);O=C(CSc1nc2ccccc2s1)NCCCc1ccccc1
COc1ccc(C(=O)[O-])cc1*;C(Oc1ccc(Cl)cc1);COc1ccc(C(=O)[O-])cc1COc1ccc(Cl)cc1
CCSc1ccccc1C(=O)*;N(c1cc(C)cc(C)c1);CCSc1ccccc1C(=O)Nc1cc(C)cc(C)c1
CCOc1ccccc1OC*;C(=O)(NCc1ccc(Cl)cc1);CCOc1ccccc1OCC(=O)NCc1ccc(Cl)cc1
C[C@@](C#N)(c1ccncc1)*;O(C(=O)c1ccccc1);C[C@](C#N)(OC(=O)c1ccccc1)c1ccncc1
CCOC(=O)c1ccccc1*;N(C(=O)c1ccc(Cl)cc1Cl);CCOC(=O)c1ccccc1NC(=O)c1ccc(Cl)cc1Cl
C[C@H](O*)/C(O)=N/c1ccc2c(c1)OCO2;C(=O)(c1ccc(O)cc1);C[C@H](OC(=O)c1ccc(O)cc1)/C(O)=N/c1ccc2c(c1)OCO2
CN(CC(=O)NCc1cccnc1)*;S(=O)(=O)(c1ccccc1);CN(CC(=O)NCc1cccnc1)S(=O)(=O)c1ccccc1
Cn1cnnc1SCC(=O)*;N(Cc1ccccc1Cl);Cn1cnnc1SCC(=O)NCc1ccccc1Cl
Cn1nc(C(F)(F)F)cc1*;C(=O)(NC1CCCCC1);Cn1nc(C(F)(F)F)cc1C(=O)NC1CCCCC1
COc1ccccc1N*;C(=O)(N1CCCC[C@H]1C);COc1ccccc1NC(=O)N1CCCC[C@H]1C
COc1ccc(Cl)cc1N*;C(=O)(c1ccccc1Cl);COc1ccc(Cl)cc1NC(=O)c1ccccc1Cl
C[C@@H](Oc1ccc(F)cc1)C(=O)*;N(c1cccc(C#N)c1);C[C@@H](Oc1ccc(F)cc1)C(=O)Nc1cccc(C#N)c1
O=C(Nc1nc(-c2ccncc2)cs1)*;C(CSc1ccc(F)cc1);O=C(CCSc1ccc(F)cc1)Nc1nc(-c2ccncc2)cs1
CC[C@@H](C(=O)O*)c1ccccc1;C(C(=O)c1ccc(Br)s1);CC[C@@H](C(=O)OCC(=O)c1ccc(Br)s1)c1ccccc1
O=C(NCCCN*)c1ccccc1Cl;C(=O)(c1ccccc1Cl);O=C(NCCCNC(=O)c1ccccc1Cl)c1ccccc1Cl
O=C(CN*)NC[C@@H]1CCCO1;S(=O)(=O)(c1ccc(Cl)cc1);O=C(CNS(=O)(=O)c1ccc(Cl)cc1)NC[C@@H]1CCCO1
Cc1occc1C(=O)N*;C(CCN1CCCC1=O);Cc1occc1C(=O)NCCCN1CCCC1=O
O=C(c1ccccc1Br)*;N(CCC1=CCCCC1);O=C(NCCC1=CCCCC1)c1ccccc1Br
C[C@H](C(=O)Nc1ccc(F)cc1Cl)*;[NH+](C)(CCOc1ccccc1);C[C@H](C(=O)Nc1ccc(F)cc1Cl)[NH+](C)CCOc1ccccc1
O=C(C*)OCc1ccc(Cl)cc1Cl;N(C(=O)c1cccc(Cl)c1);O=C(CNC(=O)c1cccc(Cl)c1)OCc1ccc(Cl)cc1Cl
Cc1ccccc1N(C*)S(C)(=O)=O;C(=O)(Nc1ccccc1Cl);Cc1ccccc1N(CC(=O)Nc1ccccc1Cl)S(C)(=O)=O
CCNC(=O)c1ccc2c(c1)CCN2*;S(=O)(=O)(c1ccc(Cl)cc1);CCNC(=O)c1ccc2c(c1)CCN2S(=O)(=O)c1ccc(Cl)cc1
O=C(c1cc2c(s1)CCCC2)*;N(c1ccccc1OC(F)F);O=C(Nc1ccccc1OC(F)F)c1cc2c(s1)CCCC2
C[C@@H](Oc1ccc(Cl)cc1)C(=O)*;N(=c1[nH]c2ccccc2[nH]1);C[C@@H](Oc1ccc(Cl)cc1)C(=O)N=c1[nH]c2ccccc2[nH]1
Cc1ccccc1NC(=O)[C@@H](C(C)C)*;N(S(=O)(=O)c1cccs1);Cc1ccccc1NC(=O)[C@H](NS(=O)(=O)c1cccs1)C(C)C
CC(=O)[C@H](Cc1ccccc1)N*;C(=O)(COc1ccc(C#N)cc1);CC(=O)[C@H](Cc1ccccc1)NC(=O)COc1ccc(C#N)cc1
C[C@H](C(=O)OCC(N)=O)*;O(c1ccc(Cl)cc1Cl);C[C@@H](Oc1ccc(Cl)cc1Cl)C(=O)OCC(N)=O
C[C@H](Nc1ccc(Br)cc1)C(=O)*;N(c1ccc(C(N)=O)cc1);C[C@H](Nc1ccc(Br)cc1)C(=O)Nc1ccc(C(N)=O)cc1
c1cc2c(cc1OCC*)CCC2;O(CC[NH+]1CCCCC1);c1cc2c(cc1OCCOCC[NH+]1CCCCC1)CCC2
O=C(C*)N[C@@H]1CCCc2ccccc21;O(c1ccc(Br)cc1F);O=C(COc1ccc(Br)cc1F)N[C@@H]1CCCc2ccccc21
COC(=O)[C@@H](Cc1ccccc1)N*;C(=O)(c1ccccc1F);COC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccccc1F
COc1ccc(C(C)=O)cc1*;C(Sc1nc(C)c(C)c(C)n1);COc1ccc(C(C)=O)cc1CSc1nc(C)c(C)c(C)n1
CC(=O)[C@H](Cc1ccccc1)NC(=O)*;C(Oc1ccc(C#N)cc1);CC(=O)[C@H](Cc1ccccc1)NC(=O)COc1ccc(C#N)cc1
COC(=O)[C@H](N*)C(F)(F)F;C(=O)(Cc1ccccc1);COC(=O)[C@H](NC(=O)Cc1ccccc1)C(F)(F)F
CC(C)c1ccccc1OC*;C(=O)(Nc1ccccc1Cl);CC(C)c1ccccc1OCC(=O)Nc1ccccc1Cl
C[C@H](Oc1ccc(Cl)cc1Br)C(=O)*;N(c1ccccc1C#N);C[C@H](Oc1ccc(Cl)cc1Br)C(=O)Nc1ccccc1C#N
CCOC(=O)[C@@H](C)NC(=O)*;C(Oc1ccc(Cl)cc1);CCOC(=O)[C@@H](C)NC(=O)COc1ccc(Cl)cc1
C[C@@H](NC(=O)*)c1ccccc1;C(C)(C)(Oc1ccc(Cl)cc1);C[C@@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)c1ccccc1
O=C(CCC(=O)*)NCc1ccc(Cl)cc1;N(Cc1ccc(Cl)cc1);O=C(CCC(=O)NCc1ccc(Cl)cc1)NCc1ccc(Cl)cc1
Cc1ccccc1NC(=O)*;C(OC(=O)CC1CCCC1);Cc1ccccc1NC(=O)COC(=O)CC1CCCC1
C[C@H](C(=O)Nc1ccccc1C#N)*;S(c1nnc2n1CCCCC2);C[C@@H](Sc1nnc2n1CCCCC2)C(=O)Nc1ccccc1C#N
CC1(C)[C@H]2CC[C@]1(C)[C@@H](*)C2;O(C(=O)c1ccc(O)cc1);CC1(C)[C@H]2CC[C@]1(C)[C@@H](OC(=O)c1ccc(O)cc1)C2
Cc1ccc(-c2nnc(S*)n2N)cc1;C(C(=O)N(C(C)C)C(C)C);Cc1ccc(-c2nnc(SCC(=O)N(C(C)C)C(C)C)n2N)cc1
O=C(c1cc(Cl)ccc1Cl)*;O(CC(=O)N1CCCC1);O=C(OCC(=O)N1CCCC1)c1cc(Cl)ccc1Cl
O=C(CNC(=O)c1ccco1)*;N(c1ccc(OC(F)F)cc1);O=C(CNC(=O)c1ccco1)Nc1ccc(OC(F)F)cc1
OCc1nc2ccccc2n1C*;C(CCOc1ccccc1);OCc1nc2ccccc2n1CCCCOc1ccccc1
